Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution GoSL/ LA,Final cost to LA/ GoSL (Rs.)
,No of chicks,"Abaliyadda1-40, Arattana-40, Dampola-10, Damunumeya-30, Damunumeya North-20, Diya Udugama-40, Dolugala-20, Hapuwala-40, Kottala-6, Pallemaluwa-5, Pussalamankada-40, Rathmetiya-40, Rekitipe-40, Rikillagaskada-40, Walalawela-40, Yati Hanguranketha-30",481,"1,500.00","721,500.00",50%,"360,750.00"
,Incubator,"Damunumeya-1, Delgahapitiya-1, Dolugala-1, Hapuwala-1,Kottala-1, Pallemaluwa-1, Rathmetiya-1, Rekitipe-1, Rikillagaskada-1, Walalawela-",10,"60,000.00","600,000.00",50%,"300,000.00"
,No of sheds - cow,"Abaliyadda-3 Arattana-2,Dampola-3, Diya Udugama-3, Dolugala-3, Hapuwala-2, Kottala-2, Pallemaluwa-2, Pussalamankada-3, Rathmetiya-2, Rekitipe-3,  Walalawela-3",31,"300,000.00","9,300,000.00",50%,"4,650,000.00"
,No of sheds - goat,"Arattana-10, Dolugala-10, Hapuwala-7, Pallemaluwa-8, Rathmetiya-3",38,"150,000.00","5,700,000.00",50%,"2,850,000.00"
Protected Agriculture,Polytunnel,"Abaliyadda1-2, Arattana-2, Dampola-2, Damunumeya North-1, Hapuwala- 2, Kottala- 2, Pallemaluwa-2, Pussalamankada-2, Rekitipe-2, Rikillagaskada- 2, Walalawela-2, Yati Hanguranketha-2",23,"700,000.00","16,100,000.00",50%,"8,050,000.00"
Value added products,Bee keeping (Box 4000/= & 4000/= bees),"Damunumeya-10, Delgahapitiya-4, Dolugala-10, Hapuwala-3, kottala-4, Pallemaluwa-5, Rathmetiya-10,Rekitipe-10, Rikillagaskada-2, walalawela-5",63,"8,000.00","504,000.00",75%,"378,000.00"
,Black Pepper machines,"Hapuwala-1, ",1,"10,000.00","10,000.00",50%,"5,000.00"
,Curry powder grinding,"Abaliyadda1-1, Arattana-1, Diya Udugama-1, Hapuwala- 1, Kottala-1, pallemaluwa-1, Pussalamankada-1",7,"120,000.00","840,000.00",50%,"420,000.00"
,Jackfruit dryer,"Pallemaluwa-1, Rikillagaskada- 1,  Walalawela-1 ",3,"850,000.00","2,550,000.00",50%,"1,275,000.00"
,Ginger slicer,"Pallemaluwa-1, Rikillagaskada- 1,  Walalawela-1 ",3,"150,000.00","450,000.00",50%,"225,000.00"
Total Cost,,,,,"54,996,930.00",,"28,205,180.00"
