Forest Reserve,Rank value of causes of forest fires,,,,
,Recklessness,To obtain fresh grass,Sabotaging,Malicious entertainment,Burning residues for agricultural activities
Malulla forest,1,4,3,5,2
Diyathalakanda other state forest,1,5,3,2,4
Mirahampe 1,1,-,2,3,-
