ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Description,Download,geojson,Year
1,MWS-019,Proposal,Proposal-Soil and Water Conservation,Soil and Water Conservation,Key activities proposed for soil and water conservation in MWS-019,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_019/Table_6_1.geojson,
2,MWS-019,Proposal,Proposal-Soil and Water Conservation,Landslides,Details of Reported landslides in MWS-019,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_019/Table_6_2.geojson,
3,MWS-019,Proposal,Proposal-Minor tanks restoration,Minor tanks restoration,Details of minor tanks available in MWS-019,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_019/Table_6_3.geojson,
26,MWS-019,Proposal,Proposal-Water resource management,Domestic water supply,Estimate of domestic water supply and water source related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_019/Table_6_26.geojson,
27,MWS-019,Proposal,Proposal-Water resource management,Minor irrigation,Cost estimate of minor irrigation-related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_019/Table_6_27.geojson,
30,MWS-019,Proposal,Proposal-Water quality improvement,Water quality improvement,Details related to water pollution in MWS-019 belongs to Mathurata DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_019/Table_6_30.geojson,
32,MWS-019,Proposal,Proposal-Stream reservation,Stream reservation,Total Cost Estimate for streambank reservation conservation proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_019/Table_6_32.geojson,
25,MWS-019,Report,Report,Watershed managment plan,,IWMI,Derive,No,Text,,,,2024
26,MWS-019,Map,Map,Atlas,,IWMI,Derive,No,Image,,,,2024
27,MWS-019,Photo,Photo,Photo,,IWMI,Derive,Yes,Photo,,,,2024
28,MWS-019,Detail,Location,Building,,SD,Raw,Yes,Vector,,,,
29,MWS-019,Detail,Water features,Water features-point,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Pt/HY_Hydro_Pt_MWS_019.geojson,
30,MWS-019,Detail,Water features,Water features-line,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Li/HY_Hydro_Li_MWS_019.geojson,
31,MWS-019,Detail,Water features,Water features-polygon,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Pg/HY_Hydro_Pg_MWS_019.geojson,
32,MWS-019,Detail,Trasport,Raod,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/08_TRP/TR_Transport/TR_Transport_Pt_MWS_019.geojson,
33,MWS-019,Detail,Location ,Places,,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/09_PLC/CA_Toponym/CA_Toponym_Pt_MWS_019.geojson,
22,MWS-019,Proposal,Proposal-Product and entrepreneurships developments,Pecoe Trail,,,,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/UMW/PekoeTrail_Li.geojson,2024
22,MWS-019,Proposal,Proposal-Product and entrepreneurships developments,Tourist attract places,,,,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/UMW/Mathurata_Tourism.geojson,2024
22,MWS-019,Proposal,Proposal-Product and entrepreneurships developments,Economic hubs,,,,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/UMW/Mathurata_Economic_Hubs.geojson,2024
