Tank name,Ownership,N,E,Remarks
Punchiwaththa Ihala Wewa,DAD,7.19354,80.70804,Recommended to improve reservation
Punchiwaththa Pahala Wewa,DAD,7.19432,80.70904,"Recommended to improve reservation, Spill, Structural repairs to bund, sluice, etc"
Attamalai Wewa,DAD,7.19924,80.71345,"Recommended to improve reservation, desilting "
Karuppamalai Wewa,DAD,7.19924,80.70918,Recommended to improve reservation
Maussawa Tank,DAD,7.18616,80.73117,Recommended to improve reservation
Gongalegoda Tank,DAD,7.19266,80.72498,"Recommended Partial desilting, improve reservation, Structural repairs to the bund, sluice, etc"
