"Table 5.12: Tentative cost for the improvement of the reservation of the Karuppamalai tank","",""
"Work.description","Location","Amount..LKR.."
"1. Dense planting of mixed vegetation comprising Agave/Kumbuk/Mee/ Godapara/Madan /Aththikka/Wal del/Kekuna /Mango/Guava/randomly mixed seedlings at 500 mm grid intervals for 600 m2. 
2. Apply mulching, organic manure, and NPK fertilizer.
3. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 100 m2. 
4. Plant two lines of Areca nut trees beside the reserve and cultivate pepper inside an area of around 100 m2. Allowed additional labour days for head carry.","Around the tank periphery","1,080,000"
"Contingencies (10%)","108,000",
"Total","1,188,000",
