"Table 2.6: Age group categorization of the population of MWS-006-2 (GN-wise)","","","",""
"GND.No","GND.Name","X0.5","X6..14","X15.18"
"998","Bawlanawatta Janapadaya","72","110","28"
"1035","Maussawa","86","175","69"
"","Total","158","285","97"
