"Table 5.27: Vegetation cover vs population in MWS-006-2","","","",""
"X","Land.use","Extent","Percentage","Population"
"1","Forests and associated lands","335.00","70.21","Six GNDs"
"2","Tea","73.70","15.45",""
"3","Home gardens","40.60","8.51",""
"","Total","449.3","94.17","16,513"
