"Table 5.40: Key stakeholders of Tea lands","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
,,"Vacancy Planting -Seedling cost (20%)","180","Seedlings","300","54,000","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","13","man days","2,500","31,500",
,,"Vacancy Planting (10%)- Seedling cost","90","Seedlings","300","27,000","2028"
,,"Vacancy Planting - Holing & Planting (4 Man days)","7","Man days","2,500","18,000",
,,"(1st years 3 maintenance,","65","Man days","2,500","162,000","2027"
,,"2nd year 2 maintenance,","43","Man days","2,500","108,000","2028"
,,"3rd year 2 maintenance,","43","Man days","2,500","108,000","2029"
,,"4th year 1 maintenance)","22","Man days","2,500","54,000","2030"
,,"Fuel (Supervision)","1","Lump sum","60,000","60,000","2026-2030"
,,,,,"Sub Total","809,500",
,,"Contingency (10%)",,,,"80,950",
,,,,,"Total","890,450",
"Conversion of 3 ha of Pinus into broad leaves species","Punchi Kele Reserve 
(7.09043, 80.89252)","Sample survey 
(2 MD)","6","Man days","2,500","15,000","2025"
,,"Enumeration 
(12 MD) Assuming 400 trees to be enumerated)","36","Man days","2,500","90,000",
,,"Seedling production (12”x18”) Need 400 Plants/ha)","1,200","Seedlings","300","360,000",
,,"Shade tree establishment
 (12 Man days/ha)","36","Man days","2,500","90,000",
,,"Seedlings for shade tree establishment (9”x6”) Need 800 Plants/ha)","2,400","Seedlings","45","108,000",
,,"Transportation of seedlings (12\"x18\")- 300 Seedling/Lorry load","4","Lorry loads","10,000","40,000","2026"
,,"Transportation of seedlings (9\"x6\")- 2000/Lorry load","2","Lorry loads","10,000","20,000",
,,"Purchasing of Compost 
(10 kg /plant)","36,000","Kg","10","360,000",
,,"Transportation of Compost 10,000kg/Lorry load","4","-","7,500","30,000",
,,"Clearing the land 
(12 MD/ha)","36","Man days","2,500","90,000",
,,"Head load transportation within the site 
(8 MD/ha)","24","Man days","2,500","60,000",
,,"Holing and planting (32 MD/ha)","96","Man days","2,500","240,000",
,,"Purchasing Fertilizer (no fertilizer for shade trees)","120","Kg","300","36,000",
,,"Applying fertilizer
 (4 MD/ha)","12","Man days","2,500","30,000",
,,"Vacancy Planting -Seedling cost (20%)","240","Seedlings","300","72,000","2027"
,,"Vacancy Planting - Holing & Planting 
(7 Man days)","21","Man days","2,500","52,500",
,,"Vacancy Planting (10%)- Seedling cost","120","Seedlings","300","36,000","2028"
,,"Vacancy Planting - Holing & Planting 
(4 Man days)","12","Man days","2,500","30,000",
,,"1st years 
3 maintenance, 12Man days, 
3 times/year","144","Man days","2,500","360,000","2027"
,,"2nd year 
2 maintenance 
(2 times /year) 10 Man days","60","Man days","2,500","150,000","2028"
,,"3rd year 
2 maintenance (Once only) 10 Man day","60","Man days","2,500","150,000","2029"
,,"4th year 
1 maintenance (Once only) 10 Man days","30","Man days","2,500","75,000","2030"
,,"Fuel (Supervision)","1","Lump sum","80,00","80,000","2025-2030"
,,,,,"Sub Total","2,574,500",
,,"Contingency (10%)",,,,"257,450",
,,,,,"Total","2,831,950",
"Roadside Planting (200 Plants)","Watambe/ Thibbatugoda (7.09022, 80.87685)","Seedling Production","200","Seedlings","300","60,000","2025"
,,"Transportation of seedlings (12\"x18\")
- 300 Seedling/Lorry load","2","Lorry loads","10,000","20,000","2025"
,,"Holing and Planting (20 Man days /Km)","10","Man days","2,500","25,000","2025"
,,"Maintenance (1st year) Including vacancy planting","10","Man days","2,500","25,000","2026"
,,"Maintenance (2nd year)","8","Man days","2,500","20,000","2027"
,,"Maintenance (3rd year)","6","Man days","2,500","15,000","2028"
,,,,,"Sub Total","165,000",
,,"Contingency (10%)",,,,"16500",
,,,,,"Total","181,500",
,"Grand Total",,,,,"7,966,420",
