"Table 5.12: Estimate for rehabilitation of Raththriya Wewa in Ellakumbura GND (519F)","",""
"SI No","Description","Amount  LKR"
"1","Planting Bamboo species and Vetiver grass or Riparian species","375,000"
,"CIVIL COST","375,000"
"2","Contingencies 10%","37,500"
,"TOTAL COST","412,500"
