"Table 2.6: Age group categorization of the population of MWS-036 (GN-wise)","","","","","","",""
"GND No","GND Name","X0 5","X6 17","X18 40","X40 60","X60 70","Above 70"
"517A","Watambe","27","63","149","123","46","36"
"517D","Arampitiya","47","206","257","219","82","31"
"519B","Yombuwelthenna","23","74","118","119","46","36"
"519","Kalaganwatta","53","143","269","192","65","52"
"517C","Rambuke","15","62","117","88","45","26"
"517B","Thibbatugoda South","45","50","189","66","79","14"
"519F","Ellakumbura","110","195","311","232","86","36"
"519D","Hapugahapitiya","19","40","78","104","38","23"
"519A","Udawela","50","135","267","172","33","79"
"524E","Nildandaheenna","170","366","673","792","44","40"
"519G","Muganagahapitiya","41","50","149","175","57","18"
"517","Thibbatugoda","27","39","103","90","46","35"
"519C","Galketiwela","36","86","165","76","60","42"
,"Total","663","1509","2845","2448","727","468"
