"Table 5.17: Estimates for Domestic water supply in MWS-036","","","","","",""
"GND No","X Name of Spring and place","N","E","Observation","Description","X Amount  LKR"
"517D","Aliya Vetuna Mada Spring","7.090849","80.891632","Reserve should be protected.","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"519","Punchagala wewa Kalagamwatta","7.105326","80.903884","There is a 22.0m long earth bund and There is no spill and Sluice, Bund Height = about 2.0m and Bund top width = 1.5m","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5 Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","804,100"
"519","Maligathanna Well","7.105586","80.899804","Located at Private land. Diameter of well - 1.8m","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop          Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"519","Spring of Mullepala Kumbura","7.105206","80.899584","A very small Spring","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"519","Punchgala Wewa","7.105306","80.903914","A small reserve upstream of the lake","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"519","Reserve in Dambekele","7.096987","80.907653","A government reserve","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","56,320"
"519A","Udawela Spring","7.10076","80.89954",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"519A","Yalkumbura Spring","7.10457","80.89526","About 10 families get drinking water","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","804,100"
"519A","Peragahawatta Pihilla","7.10426","80.89429","Water using for bathing","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","755,700"
"519B","Mukalanwatta","7.096386","80.892298","A water stock tank, water treatment unit and distribution tank are constructed and drinking water is distributed, The water treatment unit is not functioning properly.","1:2:4(20mm)concretemanualmix - Bed of water storage tank  1:2:4concretewithconcretemixer (volume batching)Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropProviding GI pipes, pipe joints, etc.. to convey water from tank Provide protective net over tank","92,675"
"519B","Mukalanwatta","7.096386","80.892298","Located in private land","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"519B","Puvakgollawatta","7.10063","80.89017","A small reserve","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
,"Pallepitiya","7.1037","80.89356","A Water storage tank (0.75m x 0.75 x 0.3m) and water distribution tank has been constructed (1.9m x 1.9m x 1.2m), Tank should be repaired.","1:2:4(20mm)concretemanualmix - Cover Slab of water storage tank 12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish(UR55)Provide protective net over tank Providing PVC pipes, pipe joints, etc.. to convey water from tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","726,010"
,"Puvakgollawatta","7.10063","80.89017","A water storage tank has been constructed but it is damaged. Located in private land.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc.. to convey water from tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","765,420"
"519C","Dodamgolla Water source","7.12278","80.89974","Water is taken for paddy cultivation","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval Replantingbamboospeciesandvetivergrassorriparianspecies","69,850"
"519D","Meena Spring","7.105986","80.887056","The spring water flows naturally","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"519D","Paddanwatta Spring","7.106106","80.888255","A water storage tank and Distribution tank has been constructed. Water is provided for 15 families.","Providing PVC pipes, pipe joints, etc.. to convey water from tank","15,000"
"519D","Meena Spring","7.105986","80.887056","The spring water flows naturally","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"519F","Raththriya Spring (UP of the Lake)","7.11073","80.9053","12m long and 1.5m high concrete wall has been constructed, 4.0m long open space has been constructed for the flow of water","1:2:4concretewithconcretemixer (volume batching)","41,020"
"519G","Spring in Temple","7.10868","80.89774","Water is taken from this spring for the Temple, A water storage tank has been constructed but it is damaged.","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Provide protective net over tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","765,420"
"519G","Gommana Spring","7.1143","80.89841","Two tanks are constructed for drinking and bathing; Tanks should be repaired.","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningProvide protective net over tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","113,590"
"519G","Galwetiya Spring","7.1138","80.89765","A spring located on private land for private use.","Provide protective net over tank","15,000"
"519G","Madugahawatta (Galwatta) Spring","7.11365","80.89739","A tank is built and water is taken for drinking","Provide protective net over tank","15,000"
"524E","Getahawewa","7.08448","80.90156","A small reserve upstream of the lake","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"524E","Amunumulla Spring","7.08288","80.89612","A spring located on reserve","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
,,,,"Total",,"10,361,935"
