"Table 5.9: Estimate for rehabilitation of Thiththawel Kandura Wewa in Udawela GND (519A)","",""
"SI No","Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and hauling the surplus materials up to 1.6 km distance by machinery. (This rate excluding of transporting of machinery)","192,240"
"2","Filling depressions / runners in tank bund",
"2.1","Stripping topsoil and including cut and lift up to 1.5m and haul 30m distance by manually","27,625"
"2.2","Earth excavation form, cut & lift up to 1.0m, placing, spreading, watering and compacting by machinery including transport by 0.75 cu Tractor & Tailor within 1.0 Km - 2.0Km -including Forming and Sloping in Tank Bund","58,890"
"2.3","Cutting, transporting, planting & watering turf (excluding cost of turf)","37,640"
"4","Miscellaneous","3,605"
,"CIVIL COST","320,000"
"5","Contingencies 10%","32,000"
,"TOTAL COST","352,000"
