"Table 5.8: Estimate for rehabilitation of Punchagala Wewa in Kalaganwatta GND (519)","",""
"SI No","Description","Amount  LKR"
,"Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","72,090"
"2","Filling depressions / runners in tank bund",
"2.1","Stripping topsoil and including cut and lift up to 1.5m and haul 30m distance by manually","40,013.03"
"2.2","Earth excavation form, cut & lift up to 1.0m, placing, spreading, watering and compacting by machinery including transport by 0.75 cu Tractor & Tailor within 1.0 Km - 2.0Km -including Forming and Sloping in Tank Bund","21,367.10"
"2.3","Cutting, transporting, planting & watering turf (excluding cost of turf)","13,152.98"
"4","Miscellaneous","3,376.89"
,"CIVIL COST","150,000"
"5","Contingencies 10%","15,000"
,"TOTAL COST","165,000"
