"Table 5.22: Details related to water pollution in MWS-036 belongs to the Nildandahinna DS Division","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  LKR","Total Cost  LKR","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","517","Thibbatugoda","No special issues reported",,,,,,,,,,,
"2","517A","Watambe","Potential to add human waste - Purankumbura Village",,,"6",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"3","517B","Thibbatugoda South","Improper disposal of domestic waste",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"4","517C","Rambuke","Potential to add human waste - Purankumbura Village",,,"7",,,,,,,,
"5","517D","Arampitiya","Potential to add human waste - Purankumbura Village",,,"50",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"6","519","Kalaganwatta","Potential to add human waste - Purankumbura Village",,,"30",,,,,,,,
"7","519A","Udawela","No special issues reported",,,,,,,,,,,
"8","519B","Yombuwelthenna","Potential to add human waste - Uda Nawela",,,"30",,,,,,,,
,,,"Potential to add human waste - Palle Nawela",,,"6",,,,,,,,
,,,"Potential to add human waste - Yombuwelthenna",,,"2",,,,,,,,
,,,"Potential to add human waste - Lewella Golla",,,"2",,,,,,,,
"9","519C","Galketiwela","Potential to add human waste - Galketiwela Village lower division",,,"5",,,,,,,,
"10","519D","Hapugahapitiya","No special issues reported",,,,,,,,,,,
"11","519F","Ellakumbura","Potential to add human waste - Uda NawelaDawatagahapathana",,,"9",,,,,,,,
,,,"Potential to add human waste - Palathenna",,,"3",,,,,,,,
,,,"Potential to add human waste - Walihinda",,,"9",,,,,,,,
,,,"Potential to add human waste - Galwatta",,,"5",,,,,,,,
,,,"Potential to add human waste - Kabalkothe",,,"2",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"12","519G","Muganagahapitiya","Potential to add human waste - Gommana",,,"10",,,,,,,,
,,,"Potential to add human waste - Atikehellanda",,,"20",,,,,,,,
"13","524E","Nildandaheenna","Potential to add human waste - Thewatta",,,"12",,,,,,,,
,,,"Potential to add human waste - Amunumulla",,,"5",,,,,,,,
,,,"Potential to add human waste - Seven bends (Vangu Hatha)",,,"5",,,,,,,,
,,,"Potential to add human waste - Nildandahinna Town",,,"1",,,,,,,,
,,,"Potential to add human waste - Sumangala Primary school",,,"1",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
,"Total",,,,,,,,,,,"250,000",,
