"Table 2.7: Occupational details of the community of MWS-036 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker","Unemployed"
"517A","Watambe","11","21","56","13","260","2","35","0","115"
"517D","Arampitiya","15","13","116","17","165","2","85","0","490"
"519B","Yombuwelthenna","6","14","55","6","250","1","11","0","195"
"519","Kalaganwatta","30","17","107","14","440","2","0","0","72"
"517C","Rambuke","11","12","65","4","164","1","10","0","124"
"517B","Thibbatugoda South","35","18","42","15","33","2","0","0","148"
"519F","Ellakumbura","14","43","142","6","327","11","1","0","356"
"519D","Hapugahapitiya","4","9","23","0","160","0","0","0","136"
"519A","Udawela","42","17","89","10","199","3","10","0","406"
"524E","Nildandaheenna","343","71","415","137","145","5","45","0","404"
"519G","Muganagahapitiya","13","15","55","15","115","2","47","0","123"
"517","Thibbatugoda","35","7","75","4","98","4","22","0","89"
"519C","Galketiwela","32","25","39","86","37","3","0","0","289"
,"Total","591","282","1279","327","2393","38","266","0","2947"
