"Table 5.50: Timeframe for the implementation","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  LKR","Total Cost  LKR","Contribution     from line agency  GoSL","Final cost to LA  GoSL  LKR"
"Paddy","Tray","Udawela-200 Nildandaheenna- 100 Muganagahapitiya-300, Watambe 200, Arampitiya 150, Yombuwelthenna 200, Kalaganwatta 150, Rambuke 250, GalketiwelaThibbatugoda,South 200, Ellakumbura 200, Hapugahapitiya 100, Thibbatugoda 200,","2,250","80","180,000","50%","90,000"
,"Electric fence","Rambuke-6 Thibbatugoda south-6 Ellakumbura-4 Udawela-5 Nildandaheenna-5 Muganagahapitiya-5","31","36,000","1,116,000","50%","558,000"
"Vegetable","Capsicum","Wetambe -5 Rambuke-10 Thibbatugoda south-5 Ellakumbura-5 Udawela-6 Nildandaheenna-5 Muganagahapitiya-5","41","40/perches unit - 20g. 3,000","123,000","100%","123,000"
,"Cabbage","Wetambe -10 Rambuke- 5 south-2 Ellakumbura-3 Udawela-6 Nildandaheenna-4 Muganagahapitiya-4","34","40/perches unit - 20g. 6,000","204,000","100%","204,000"
,"Green chili","Wetambe -5 Rambuke-10 Thibbatugoda south-10 Ellakumbura-10 Udawela-10 Nildandaheenna-5 Muganagahapitiya-5","55","40/perches unit - 50g. 1,500","82,500","100%","82,500"
,"Beans","Ellakumbura-10 Udawela-10 Nildandaheenna- 5 Muganagahapitiya-5","30","40/perches unit - 1500g. 4,500","135,000","100%","135,000"
,"Tomato","Wetambe -10 Rambuke - 6 Thibbatugoda south-10 Ellakumbura-5 Udawela-5 Nildandaheenna- 5 Muganagahapitiya-6","47","40/perches unit - 10g. 6,000","282,000","100%","282,000"
"Fruits","Banana","Wetambe -150 Rambuke-100 - Ellakumbura-150 - Nildandaheenna- 100","500","120","60,000","100%","60,000"
,"Avocado","Rambuke-60 - Ellakumbura-70 - Nildandaheenna- 50","180","200","36,000","100%","36,000"
,"Mango","Wetambe -100 Rambuke-80 - Ellakumbura-70 Nildandaheenna- 100","350","300","105,000","100%","105,000"
"Export Crops","Coffee","Udawela-200 Nildandaheenna- 300 Muganagahapitiya-300, Watambe 200, Arampitiya 250, Yombuwelthenna 200, Kalaganwatta 250, Rambuke 250, GalketiwelaThibbatugoda,South 200, Ellakumbura 300, Hapugahapitiya 300, Thibbatugoda 400,","3,150","30","94,500","100%","94,500"
,"Pepper","Udawela-300 Nildandaheenna- 200 Muganagahapitiya-300, Watambe 200, Arampitiya 300, Yombuwelthenna 200, Kalaganwatta 300, Rambuke 400, GalketiwelaThibbatugoda,South 200, Ellakumbura 200, Hapugahapitiya 200, Thibbatugoda 200,","3,000","40","120,000","100%","120,000"
,"Ginger","Wetambe -150 Udawela-150 Nildandaheenna- 200 Muganagahapitiya-200","700","18","12,600","100%","12,600"
"Livestock","No of cow","Wetambe -2 Rambuke-2 Thibbatugoda south-2 - Nildandaheenna- 4 Muganagahapitiya-2","12","250,000","3,000,000","50%","1,500,000"
,"No of goat","Nildandaheenna-25","25","40,000","1,000,000","50%","500,000"
,"No of chicks","Wetambe -50 Rambuke-100 Thibbatugoda south-100 Ellakumbura-100 Udawela-50 Nildandaheenna- 100 Muganagahapitiya-100","600","1,500","900,000","50%","450,000"
,"No of sheds - cow","Wetambe -2 Rambuke-1 Thibbatugoda south-1 -Udawela-1 Nildandaheenna- 1","6","300,000","1,800,000","50%","900,000"
,"No of sheds - goat","Nildandaheenna-4","4","150,000","600,000","50%","300,000"
"Protected Agriculture","Polytunnel","Wetambe -2,- Nildandaheenna- 2","4","700,000","2,800,000","50%","1,400,000"
"Value added products","Bee keeping (Box 4000/= & 4000/= bees)","Wetambe -10 Rambuke-10 Thibbatugoda south-10 Ellakumbura-15 - Nildandaheenna-10 Muganagahapitiya-5","60","8,000","480,000","75%","360,000"
,"Black Pepper making machines","Rambuke-5","5","10,000","50,000","50%","25,000"
,"Curry powder grinding","Rambuke-1 - Ellakumbura-1 Nildandaheenna-1","3","120,000","360,000","50%","180,000"
"Total Cost",,,,,"13,540,600",,"7,517,600"
