"Table 2.5: GN-wise demographic details of the MWS-036","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"517A","Watambe","121","153","223","220"
"517D","Arampitiya","223","235","423","419"
"519B","Yombuwelthenna","141","141","218","198"
"519","Kalaganwatta","203","240","386","388"
"517C","Rambuke","107","110","180","173"
"517B","Thibbatugoda South","137","148","229","214"
"519F","Ellakumbura","226","278","459","451"
"519D","Hapugahapitiya","80","106","145","157"
"519A","Udawela","180","233","372","364"
"524E","Nildandaheenna","584","656","1026","1059"
"519G","Muganagahapitiya","133","156","235","255"
"517","Thibbatugoda","88","117","186","154"
"519C","Galketiwela","134","150","237","207"
,"Total","2357","2723","4319","4259"
