"Table 5.11: Estimate for rehabilitation of Raththajja Kuda Wewa in Galketiwela GND (519C)","",""
"SI No","Description","Amount  LKR"
"1","Filling depressions / runners in tank bund",
"1.1","Stripping topsoil and including cut and lift up to 1.5m and haul 30m distance by manually","11,770"
"1.2","Earth excavation form, cut & lift up to 1.0m, placing, spreading, watering and compacting by machinery including transport by 0.75 cu Tractor & Tailor within 1.0 Km - 2.0Km -including Forming and Sloping in Tank Bund","9,650"
"1.3","Cutting, transporting, planting & watering turf (excluding cost of turf)","10,700"
"1.4","Miscellaneous","2,880"
,"CIVIL COST","35,000"
"2","Contingencies 10%","3,500"
,"TOTAL COST","38,500"
