"Table 5.7: Estimate for rehabilitation of Sawen Idalaketiya Wewa in Arampitiya GND (517D)","",""
"SI No","Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","230,700"
"2","Filling depressions / runners in tank bund",
"2.1","Stripping topsoil and including cut and lift up to 1.5m and haul 30m distance by manually","10,970"
"2.2","Earth excavation form, cut & lift up to 1.0m, placing, spreading, watering and compacting by machinery including transport by 0.75 cu Tractor & Tailor within 1.0 Km - 2.0Km -including Forming and Sloping in Tank Bund","23,155"
"2.3","Cutting, transporting, planting & watering turf (excluding cost of turf)","14,950"
"4","Miscellaneous","225"
,"CIVIL COST","280,000"
"5","Contingencies 10%","28,000"
,"TOTAL COST","308,000"
