"Table 5.25: Time frame for implementing stream reservation activities","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"519A","Galpoththa Arawa Spring","7.10554","80.89805","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","122,770"
"519A","Udawela Ela","7.10076","80.89954","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","144,220"
"519A","Thiththawel Kundura Spring","7.09695","80.89656","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","165,670"
"519A","Nayakele Kandura","7.09579","80.89421","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","122,770"
"519B","Uda Elamulla Kandura","7.10103","80.88972",,"9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","144,220"
"519B","Pallenawela Kandura","7.1025","80.88953",,"9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","149,170"
"519C","Arawa Kandura","7.116934","80.897012","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","320,005"
"519C","Nikaththe Kandura","7.116947","80.89713","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","351,475"
"519D","Yakkatuwa Oya","7.106186","80.887955","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","298,675"
"519D","Kosgolla Kandura","7.113956","80.882456","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","165,670"
"519D","Lindeyaya Kandura","7.110946","80.882236","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","152,470"
"519D","Gallinda Kandura","7.109836","80.882976","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","122,770"
"519D","Pallemankada Kandura","7.115796","80.889935","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","122,770"
"519F","From Upstream of Raththriya Ulpatha wewa to Kalaganwatta","7.11129","80.90462","The spill canal from Rathria Wewa to Kalaganwatta. During the rainy season when too much water flows, Bank erosion occurs","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","107,800"
"524E","Palawatta Kandura","7.08438","80.89376","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canal reservationprotectionbyearthfillingof strip of1.5mto2mwide andaverage Depthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","208,570"
,,,,"Total",,"4,757,755"
