"Table 5.8: Estimate for rehabilitation of “Rajjalvita Pathaha” in 679 Hurukaduwa South GND","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery. (This rate is excluding of transporting of machinery)","240,300"
"2","Transporting of earth moving machinery","20,000"
"3","Miscellaneous","4,700"
,"CIVIL COST","265,000"
"4","Contingencies 10%","26,500"
,"TOTAL COST","291,500"
