"Table 5.10: Estimate for rehabilitation of “Hurikaduwa Wewa” in 680 Hurukaduwa East GND","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery. (This rate is excluding of transporting of machinery)","19,224"
"2","Rehabilitating tank bund","25,000"
"3","Transporting of earth moving machinery","20,000"
"4","Miscellaneous","776"
,"CIVIL COST","65,000"
"5","Contingencies 10%","6,500"
,"TOTAL COST","71,500"
