"Table 5.30: highlights the severity of degradation factors within key forest reserves.","","","",""
"Forest reserve","Rank value of Deforestation and Degradation","NA","NA  1","NA  2"
,"Forest fires","Encroachments","Cutting for firewood","Illegal felling"
"Delgaslanda forest","3","2","1","-
-"
