ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-008-1,Proposal,Soil and Water Conservation,Key activities proposed for soil and water conservation in MWS-008-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/Table_6_1.geojson,
2,MWS-008-1,Proposal,Soil and Water Conservation,Details of Reported landslides in MWS-008-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/Table_6_2.geojson,
3,MWS-008-1,Proposal,Minor tanks restoration,Details of minor tank available in MWS-008-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/Table_6_3.geojson,
11,MWS-008-1,Proposal,Water resource management,Cost estimate of domestic water supply related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/Table_6_11.geojson,
12,MWS-008-1,Proposal,Water resource management,Estimate of water source protection-related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/Table_6_12.geojson,
13,MWS-008-1,Proposal,Water resource management,Cost estimate of minor irrigation related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/Table_6_13.geojson,
14,MWS-008-1,Proposal,Water quality improvement,Key activities proposed for water quality improvement in MWS-008-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/Table_6_14.geojson,
16,MWS-008-1,Proposal,Stream reservation,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/Table_6_16.geojson,
