"Table 6.23: Brief description of legal provisions","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","506 B","Liyanwela Pahala","No special issues reported",,,,,,,,,,,
"2","506 C","Madakandura","Potential to additing human waste - Liyanwela Watta",,,"5",,,,,,,,
,,,"Potential to additing human waste - Alma",,,"10",,,,,,,,
,,,"Improper disposal of household waste - Madakandura",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"3","506 D","Liyanwela Ihala","No special issues reported",,,,,,,,,,,
"4","506 E","Madumana","Potential to additing human waste - Liyanwela Watta",,,"10",,,,,,,,
"5","506 F","Ilukpelessa","Potential to additing human waste - Illukpelessa",,,"27",,,,,,,,
"6","513 F","Andawala","Potential to additing human waste - Ambagahathanna Village",,,"5",,,,,,,,
,,,"Potential to additing human waste - Ilukpalassa Village",,,"6",,,,,,,,
,,,"Potential to additing human waste - Malapattawa Village",,,"2",,,,,,,,
,,,"Improper disposal of household waste - Madakandura",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"7","514 A","Naranthalawa","No special issues reported",,,,,,,,,,,
"Grand Total","100,000.00",,,,,,,,,,,,,
