"Table 6.34: Forest Plantation in the MWS-028","","","","",""
"Forest reserve","Forest fires","Over grassing","Cutting for firewood","Land slides","Illegal felling"
"Dalugolla forest","2","-","1","-","-"
"Malapattawa forest","2","1","-","3","-"
"Mailgasthenna forest","2","-","-","3","1"
