"Table 6.44: Livelihood challenges and community expectations","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"506C","Medakandura","1.5","2","1.5","2","1","1"
"513F","Andawala","1.5","2","1","1.5","1","1"
"506E","Madumana","2","1.5","1","1.5","1","1"
"506B","Liyanwala Pahalagama","1","1","0.5","1","0.5","2"
"506D","Liyanwela Ihalagama","2","1.5","1.5","2","1.5","1"
"506F","Ilukpelessa","1","1.5","1","2","1","1.5"
"514A","Naranthalawa","1","1","1.5","1","0.5","2"
,"Total","10","10.5","8","11","6.5","9.5"
