"Table 6.9: Tentative estimate for Bootawa Wewa in Madumana GND","","",""
"Item","Description","Location","Amount  Rs"
"1","Desilting tank bed","Tank bed",
"1.1","Desilting of tank beds including removing of water weeds and appropriate disposal of material 0.5km DS from the tank (D4 + Loader + Dumper truck) -0.30m thickness over 100% of the water spread area",,"137,676.00"
"2","Construction of new HW type Sluice","Tank","750,000.00"
"3","Soil Conservation",,
"3.1","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","Reservation","267,000.00"
"4","Miscellaneous",,"5,324.00"
,"Total",,"1,160,000.00"
