ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-018-1,Proposal,Soil and Water Conservation,Key activities proposed for soil and water conservation in MWS-018-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_018_1/Table_6_1.geojson,
2,MWS-018-1,Proposal,Soil and Water Conservation,Details of Reported landslides in MWS-018-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_018_1/Table_6_2.geojson,
11,MWS-018-1,Proposal,Water resource management,Estimate of water source protection-related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_018_1/Table_6_11.geojson,
12,MWS-018-1,Proposal,Water resource management,Cost estimate of minor irrigation-related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_018_1/Table_6_12.geojson,
15,MWS-018-1,Proposal,Water quality improvement,Details related to water pollution in MWS-018-1 belong to the Mathurata DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_018_1/Table_6_15.geojson,
17,MWS-018-1,Proposal,Stream reservation,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_018_1/Table_6_17.geojson,
