ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year
1,MWS-006_2,Proposal - Soil and water conservation,Soil and Water Conservation,,Key activities proposed for soil and water conservation in MWS-006-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_1.csv,2024
2,MWS-006_2,Proposal - Soil and water conservation,Soil and Water Conservation,,Details of Reported landslides in MWS-006-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_2.csv,2024
3,MWS-006_2,Proposal - Minor tanks restoration,Minor tanks restoration,,Details of minor tank available in MWS-006-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_3.csv,2024
4,MWS-006_2,Proposal - Minor tanks restoration,Minor tanks restoration,,Salient details of Punchiwaththa Ihala Wewa and Punchiwaththa Pahala Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_4.csv,2024
5,MWS-006_2,Proposal - Minor tanks restoration,Minor tanks restoration,,Salient details of Attamalai Wewa and Karupamalai Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_5.csv,2024
6,MWS-006_2,Proposal - Minor tanks restoration,Minor tanks restoration,,Salient details of Maussawa Wewa and Gongalegoda Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_6.csv,2024
13,MWS-006_2,Proposal - Minor tanks restoration,Minor tanks restoration,,Detail summary of minor tank restoration and repair costs in MWS-006-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_13.csv,2024
19,MWS-006_2,Proposal - Water resource management,Water resource management,,Estimate of domestic water supply related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_19.csv,2024
20,MWS-006_2,Proposal - Water resource management,Water resource management,,Estimate of water source protection-related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_20.csv,2024
21,MWS-006_2,Proposal - Water resource management,Water resource management,,Cost estimate of minor irrigation-related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_21.csv,2024
22,MWS-006_2,Proposal - Water quality improvement,Water quality improvement,,Details related to water pollution in MWS-006-2 belongs to Deltota DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_22.csv,2024
24,MWS-006_2,Proposal - Stream reservation,Stream reservation,,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_24.csv,2024
25,MWS-006_2,Report,Report,Watershed managment plan,,IWMI,Derive,No,Text,,,,2024
26,MWS-006_2,Map,Map,Atlas,,IWMI,Derive,No,Image,,,,2024
27,MWS-006_2,Photo,Photo,Photo,,IWMI,Derive,Yes,Photo,,,,2024
28,MWS-006_2,Detail,Location,Building,,SD,Raw,Yes,Vector,,,,
29,MWS-006_2,Detail,Water features,Water features-point,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Pt/HY_Hydro_Pt_MWS_006_2.geojson,
30,MWS-006_2,Detail,Water features,Water features-line,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Li/HY_Hydro_Li_MWS_006_2.geojson,
